"id","thomas_id","api_uri","first_name","middle_name","last_name","party","twitter_account","facebook_account","facebook_id","url","rss_url","domain","dw_nominate","ideal_point","seniority","next_election","state","district","missed_votes_pct","votes_with_party_pct","chamber"
"A000055","1460","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000055.json","Robert","B.","Aderholt","R","Robert_Aderholt","RobertAderholt","19787529402","http://aderholt.house.gov","http://aderholt.house.gov/common/rss//index.cfm?rss=20","aderholt.house.gov","","","20","2014","AL","4","0.00","94.34","house"
"A000367","2029","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000367.json","Justin",NA,"Amash","R","RepJustinAmash","repjustinamash","173604349345646","http://amash.house.gov","http://amash.house.gov/rss.xml","amash.house.gov","","","6","2014","MI","3","0.00","79.25","house"
"A000369","2090","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000369.json","Mark",NA,"Amodei","R","MarkAmodeiNV2","MarkAmodeiNV2","307227745970624","http://amodei.house.gov","http://amodei.house.gov/common/rss//?rss=49","amodei.house.gov","","","6","2014","NV","2","3.77","94.12","house"
"B000213","62","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000213.json","Joe","L.","Barton","R","RepJoeBarton","RepJoeBarton","15617630596","http://joebarton.house.gov","","joebarton.house.gov","","","32","2014","TX","6","7.55","95.92","house"
"B000287","70","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000287.json","Xavier",NA,"Becerra","D","RepBecerra","XavierBecerra","90311772229","http://becerra.house.gov","http://becerra.house.gov/rss/latest-news.xml","becerra.house.gov","","","24","2014","CA","34","0.00","96.23","house"
"B000490","91","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000490.json","Sanford","D.","Bishop Jr.","D","SanfordBishop","sanfordbishop","366739521606","http://bishop.house.gov","http://bishop.house.gov/rss.xml","bishop.house.gov","","","24","2014","GA","2","0.00","86.79","house"
"B000589","102","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000589.json","John","A.","Boehner","R","SpeakerBoehner","SpeakerJohnBoehner","175082565865743","http://boehner.house.gov","http://boehner.house.gov/News/Rss.aspx","johnboehner.house.gov","","","26",NA,"OH","8","98.11","0.00","house"
"B000755","1468","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000755.json","Kevin",NA,"Brady","R","RepKevinBrady","kevinbrady","9307301412","http://kevinbrady.house.gov","http://kevinbrady.house.gov/common/rss/index.cfm?rss=49","kevinbrady.house.gov","","","20","2014","TX","8","9.43","95.83","house"
"B000911","132","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000911.json","Corrine",NA,"Brown","D","RepCorrineBrown","congresswomanbrown","179120958813519","http://corrinebrown.house.gov","http://corrinebrown.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw","corrinebrown.house.gov","","","24","2014","FL","5","0.00","96.23","house"
"B001227","1469","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001227.json","Robert","A.","Brady","D","RepBrady","RepRobertBrady","118845109487","http://brady.house.gov","http://brady.house.gov/rss.xml","www.brady.house.gov","","","20","2014","PA","1","3.77","88.24","house"
